PassengerId,Survived
892,0
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,0
902,0
903,1
904,1
905,0
906,1
907,0
908,0
909,1
910,0
911,1
912,0
913,0
914,1
915,1
916,0
917,0
918,1
919,0
920,0
921,1
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,1
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,0
958,1
959,1
960,0
961,0
962,1
963,0
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,0
972,0
973,0
974,1
975,0
976,0
977,1
978,1
979,0
980,1
981,0
982,1
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,1
991,0
992,1
993,0
994,1
995,0
996,0
997,1
998,0
999,0
1000,1
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,1
1050,0
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,1
1058,0
1059,1
1060,0
1061,0
1062,1
1063,0
1064,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,1
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,1
1095,0
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,0
1124,1
1125,0
1126,0
1127,1
1128,0
1129,1
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,1
1148,0
1149,1
1150,0
1151,0
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,0
1159,1
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,1
1168,0
1169,1
1170,0
1171,0
1172,1
1173,0
1174,1
1175,0
1176,0
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,0
1201,0
1202,1
1203,0
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,0
1212,1
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,0
1227,1
1228,0
1229,1
1230,0
1231,0
1232,1
1233,0
1234,1
1235,0
1236,0
1237,1
1238,0
1239,1
1240,0
1241,0
1242,1
1243,0
1244,1
1245,0
1246,0
1247,1
1248,0
1249,1
1250,0
1251,0
1252,1
1253,0
1254,1
1255,0
1256,0
1257,1
1258,0
1259,1
1260,0
1261,0
1262,1
1263,0
1264,1
1265,0
1266,0
1267,1
1268,0
1269,1
1270,0
1271,0
1272,1
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,1
1283,0
1284,1
1285,0
1286,0
1287,1
1288,0
1289,1
1290,0
1291,0
1292,1
1293,0
1294,1
1295,0
1296,0
1297,1
1298,0
1299,1
1300,0
1301,0
1302,1
1303,0
1304,1
1305,0
1306,0
1307,1
1308,0
1309,1
